10/4/2023,plot,trt,family,a_j
10/4/2023,101,dep,tetrgnathidae,j
10/4/2023,101,dep,thomisidae,a
10/4/2023,101,dep,thomisidae,a
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,thomisidae,j
10/4/2023,100,aug,thomisidae,j
10/4/2023,100,aug,thomisidae,j
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,tetrgnathidae,a
10/4/2023,100,aug,tetrgnathidae,a
10/4/2023,100,aug,salticidae,a
10/4/2023,100,aug,salticidae,a
10/4/2023,100,aug,salticidae,a
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,tetrgnathidae,a
10/4/2023,100,aug,araneidae,a
10/4/2023,100,aug,araneidae,a
10/4/2023,100,aug,lycosidae,a
10/4/2023,100,aug,lycosidae,j
10/4/2023,100,aug,philodromidae,a
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,a
10/4/2023,101,ctl,thomisidae,a
10/4/2023,101,ctl,thomisidae,a
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,salticidae,a
10/4/2023,101,ctl,salticidae,j
10/4/2023,101,ctl,tetrgnathidae,a
10/4/2023,101,ctl,tetrgnathidae,a
10/4/2023,101,ctl,tetrgnathidae,j
10/4/2023,101,ctl,tetrgnathidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,tetrgnathidae,a
10/4/2023,101,ctl,lycosidae,j
10/4/2023,101,ctl,philodromidae,a
10/4/2023,101,ctl,philodromidae,a
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,linyphiidae,a
10/4/2023,101,ctl,unknown,a
10/4/2023,200,dep,araneidae,a
10/4/2023,200,ctl,salticidae,a
10/4/2023,200,ctl,salticidae,a
10/4/2023,200,ctl,thomisidae,a
10/4/2023,200,ctl,thomisidae,a
10/4/2023,200,ctl,thomisidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,linyphiidae,a
10/4/2023,200,ctl,thomisidae,j
10/4/2023,200,aug,salticidae,a
10/4/2023,200,aug,thomisidae,a
10/4/2023,200,aug,thomisidae,a
10/4/2023,200,aug,thomisidae,a
10/4/2023,200,aug,thomisidae,j
10/4/2023,200,aug,thomisidae,j
10/4/2023,200,aug,thomisidae,j
10/4/2023,200,aug,thomisidae,j
10/4/2023,200,aug,araneidae,a
10/4/2023,200,aug,linyphiidae,a
10/4/2023,200,aug,oxyopidae,j
10/4/2023,200,aug,oxyopidae,j
10/4/2023,200,aug,oxyopidae,j
10/4/2023,200,aug,oxyopidae,j
10/4/2023,200,aug,oxyopidae,j
10/4/2023,200,aug,oxyopidae,j
10/4/2023,200,aug,tetrgnathidae,a
10/4/2023,200,aug,tetrgnathidae,a
10/4/2023,200,aug,tetrgnathidae,a
10/4/2023,300,aug,salticidae,a
10/4/2023,300,aug,salticidae,a
10/4/2023,300,aug,salticidae,j
10/4/2023,300,aug,oxyopidae,a
10/4/2023,300,aug,oxyopidae,j
10/4/2023,300,aug,oxyopidae,j
10/4/2023,300,aug,thomisidae,j
10/4/2023,300,aug,thomisidae,j
10/4/2023,300,aug,thomisidae,j
10/4/2023,300,aug,tetrgnathidae,a
10/4/2023,300,aug,tetrgnathidae,a
10/4/2023,300,aug,tetrgnathidae,j
10/4/2023,300,aug,tetrgnathidae,j
10/4/2023,300,aug,unknown,j
10/4/2023,300,ctl,tetrgnathidae,a
10/4/2023,300,ctl,salticidae,a
10/4/2023,300,ctl,salticidae,a
10/4/2023,300,ctl,salticidae,j
10/4/2023,300,ctl,salticidae,j
10/4/2023,300,ctl,thomisidae,a
10/4/2023,300,ctl,thomisidae,a
10/4/2023,300,dep,thomisidae,a
10/4/2023,300,dep,thomisidae,a
10/4/2023,300,dep,thomisidae,j
10/4/2023,300,dep,salticidae,a
10/4/2023,300,dep,salticidae,a
10/4/2023,300,dep,philodromidae,a
10/4/2023,400,aug,thomisidae,a
10/4/2023,400,aug,thomisidae,a
10/4/2023,400,aug,thomisidae,a
10/4/2023,400,aug,thomisidae,a
10/4/2023,400,aug,thomisidae,a
10/4/2023,400,aug,thomisidae,a
10/4/2023,400,aug,thomisidae,a
10/4/2023,400,aug,thomisidae,a
10/4/2023,400,aug,thomisidae,a
10/4/2023,400,aug,thomisidae,j
10/4/2023,400,aug,thomisidae,j
10/4/2023,400,aug,thomisidae,j
10/4/2023,400,aug,tetrgnathidae,a
10/4/2023,400,aug,tetrgnathidae,a
10/4/2023,400,aug,tetrgnathidae,a
10/4/2023,400,aug,tetrgnathidae,a
10/4/2023,400,aug,tetrgnathidae,a
10/4/2023,400,aug,oxyopidae,a
10/4/2023,400,aug,oxyopidae,a
10/4/2023,400,aug,oxyopidae,j
10/4/2023,400,aug,oxyopidae,j
10/4/2023,400,aug,thomisidae,j
10/4/2023,400, ctl,thomisidae,j
10/4/2023,400, ctl,thomisidae,j
10/4/2023,400, ctl,thomisidae,j
10/4/2023,400, ctl,thomisidae,a
10/4/2023,400, ctl,thomisidae,a
10/4/2023,400, ctl,thomisidae,a
10/4/2023,400, ctl,thomisidae,a
10/4/2023,400, ctl,salticidae,a
10/4/2023,400, ctl,oxyopidae,j
10/4/2023,400, ctl,oxyopidae,j
10/4/2023,400, ctl,oxyopidae,j
10/4/2023,400, ctl,oxyopidae,j
10/4/2023,400, ctl,linyphiidae,a
10/4/2023,400,dep,thomisidae,a
10/4/2023,400,dep,thomisidae,a
10/4/2023,400,dep,thomisidae,a
10/4/2023,400,dep,thomisidae,a
10/4/2023,400,dep,thomisidae,a
10/4/2023,400,dep,oxyopidae,j
10/4/2023,500,aug,thomisidae,j
10/4/2023,500,aug,thomisidae,j
10/4/2023,500,aug,thomisidae,j
10/4/2023,500,aug,thomisidae,j
10/4/2023,500,aug,thomisidae,j
10/4/2023,500,aug,thomisidae,j
10/4/2023,500,aug,thomisidae,j
10/4/2023,500,aug,thomisidae,j
10/4/2023,500,aug,tetrgnathidae,a
10/4/2023,500,aug,tetrgnathidae,a
10/4/2023,500,aug,tetrgnathidae,a
10/4/2023,500,aug,tetrgnathidae,a
10/4/2023,500,aug,salticidae,j
10/4/2023,500,aug,salticidae,a
10/4/2023,500,aug,oxyopidae,j
10/4/2023,500,aug,salticidae,a
10/4/2023,500,ctl,thomisidae,a
10/4/2023,500,ctl,thomisidae,j
10/4/2023,500,ctl,thomisidae,j
10/4/2023,500,ctl,thomisidae,j
10/4/2023,500,ctl,salticidae,a
10/4/2023,500,ctl,salticidae,a
10/4/2023,500,ctl,oxyopidae,j
10/4/2023,500,ctl,oxyopidae,j
10/4/2023,500,ctl,linyphiidae,a
10/4/2023,500,dep,araneidae,a
10/4/2023,500,dep,thomisidae,j
10/4/2023,500,dep,thomisidae,j
10/4/2023,500,dep,thomisidae,j
10/4/2023,500,dep,salticidae,j
10/4/2023,500,dep,salticidae,a
10/4/2023,600,aug,salticidae,a
10/4/2023,600,aug,salticidae,a
10/4/2023,600,aug,salticidae,a
10/4/2023,600,aug,salticidae,a
10/4/2023,600,aug,araneidae,a
10/4/2023,600,aug,thomisidae,j
10/4/2023,600,aug,thomisidae,j
10/4/2023,600,aug,thomisidae,j
10/4/2023,600,aug,thomisidae,a
10/4/2023,600,aug,thomisidae,a
10/4/2023,600,aug,thomisidae,a
10/4/2023,600,aug,linyphiidae,a
10/4/2023,600,aug,lycosidae,a
10/4/2023,600,aug,oxyopidae,a
10/4/2023,600,aug,oxyopidae,a
10/4/2023,600,aug,oxyopidae,j
10/4/2023,600,aug,tetrgnathidae,a
10/4/2023,600,ctl,oxyopidae,a
10/4/2023,600,ctl,oxyopidae,j
10/4/2023,600,ctl,oxyopidae,j
10/4/2023,600,ctl,oxyopidae,j
10/4/2023,600,ctl,oxyopidae,j
10/4/2023,600,ctl,thomisidae,j
10/4/2023,600,ctl,thomisidae,j
10/4/2023,600,ctl,thomisidae,j
10/4/2023,600,ctl,tetrgnathidae,a
10/4/2023,600,dep,thomisidae,j
10/4/2023,600,dep,thomisidae,j
10/4/2023,600,dep,thomisidae,j
10/4/2023,600,dep,thomisidae,a
10/4/2023,600,dep,salticidae,a
10/4/2023,600,dep,oxyopidae,j
10/4/2023,700,aug,salticidae,a
10/4/2023,700,aug,salticidae,a
10/4/2023,700,aug,salticidae,a
10/4/2023,700,aug,salticidae,j
10/4/2023,700,aug,tetrgnathidae,a
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,philodromidae,j
10/4/2023,700,aug,tetrgnathidae,j
10/4/2023,700,aug,oxyopidae,j
10/4/2023,700,aug,oxyopidae,j
10/4/2023,700,aug,oxyopidae,j
10/4/2023,700,aug,oxyopidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,thomisidae,j
10/4/2023,700,aug,salticidae,a
10/4/2023,700,aug,salticidae,a
10/4/2023,700,aug,salticidae,j
10/4/2023,700,aug,araneidae,a
10/4/2023,700,aug,araneidae,a
10/4/2023,700,ctl,thomisidae,j
10/4/2023,700,ctl,thomisidae,j
10/4/2023,700,ctl,thomisidae,j
10/4/2023,700,ctl,thomisidae,j
10/4/2023,700,ctl,thomisidae,j
10/4/2023,700,ctl,thomisidae,j
10/4/2023,700,ctl,thomisidae,j
10/4/2023,700,ctl,thomisidae,j
10/4/2023,700,ctl,thomisidae,j
10/4/2023,700,ctl,thomisidae,a
10/4/2023,700,ctl,salticidae,a
10/4/2023,700,ctl,salticidae,a
10/4/2023,700,ctl,salticidae,a
10/4/2023,700,ctl,salticidae,a
10/4/2023,700,ctl,oxyopidae,j
10/4/2023,700,ctl,oxyopidae,j
10/4/2023,700,ctl,philodromidae,a
10/4/2023,700,dep,lycosidae,j
10/4/2023,700,dep,thomisidae,j
10/4/2023,700,dep,thomisidae,j
10/4/2023,700,dep,thomisidae,j
10/4/2023,700,dep,tetrgnathidae,a
10/4/2023,800,aug,thomisidae,j
10/4/2023,800,aug,thomisidae,j
10/4/2023,800,aug,thomisidae,j
10/4/2023,800,aug,thomisidae,j
10/4/2023,800,aug,thomisidae,a
10/4/2023,800,aug,thomisidae,a
10/4/2023,800,aug,thomisidae,a
10/4/2023,800,aug,araneidae,a
10/4/2023,800,aug,araneidae,a
10/4/2023,800,aug,araneidae,a
10/4/2023,800,aug,oxyopidae,j
10/4/2023,800,aug,oxyopidae,j
10/4/2023,800,aug,oxyopidae,j
10/4/2023,800,aug,oxyopidae,j
10/4/2023,800,aug,oxyopidae,j
10/4/2023,800,aug,oxyopidae,j
10/4/2023,800,aug,salticidae,a
10/4/2023,800,aug,salticidae,a
10/4/2023,800,aug,salticidae,a
10/4/2023,800,aug,tetrgnathidae,a
10/4/2023,800,ctl,araneidae,a
10/4/2023,800,ctl,araneidae,a
10/4/2023,800,ctl,araneidae,a
10/4/2023,800,ctl,araneidae,a
10/4/2023,800,ctl,salticidae,j
10/4/2023,800,ctl,salticidae,j
10/4/2023,800,ctl,salticidae,j
10/4/2023,800,ctl,salticidae,j
10/4/2023,800,ctl,salticidae,j
10/4/2023,800,ctl,thomisidae,a
10/4/2023,800,ctl,thomisidae,a
10/4/2023,800,ctl,thomisidae,a
10/4/2023,800,ctl,thomisidae,j
10/4/2023,800,ctl,oxyopidae,j
10/4/2023,800,ctl,oxyopidae,j
10/4/2023,800,ctl,oxyopidae,j
10/4/2023,800,ctl,oxyopidae,j
10/4/2023,800,ctl,tetrgnathidae,a
10/4/2023,800,ctl,tetrgnathidae,a
10/4/2023,800,dep,araneidae,a
10/4/2023,800,dep,thomisidae,a
10/4/2023,800,dep,thomisidae,j
10/4/2023,800,dep,thomisidae,j
10/4/2023,800,dep,thomisidae,j
10/4/2023,800,dep,thomisidae,j
10/4/2023,800,dep,thomisidae,j
10/4/2023,800,dep,thomisidae,j
10/4/2023,800,dep,thomisidae,j
10/4/2023,800,dep,thomisidae,j
10/4/2023,800,dep,thomisidae,j
10/4/2023,800,dep,linyphiidae,a
10/4/2023,800,dep,oxyopidae,a
10/4/2023,800,dep,oxyopidae,j
10/4/2023,900,aug,thomisidae,a
10/4/2023,900,aug,thomisidae,a
10/4/2023,900,aug,thomisidae,j
10/4/2023,900,aug,thomisidae,j
10/4/2023,900,aug,thomisidae,j
10/4/2023,900,aug,thomisidae,j
10/4/2023,900,aug,thomisidae,j
10/4/2023,900,aug,linyphiidae,a
10/4/2023,900,aug,philodromidae,j
10/4/2023,900,aug,thomisidae,j
10/4/2023,900,ctl,thomisidae,j
10/4/2023,900,ctl,thomisidae,j
10/4/2023,900,ctl,thomisidae,j
10/4/2023,900,ctl,thomisidae,j
10/4/2023,900,ctl,thomisidae,j
10/4/2023,900,ctl,thomisidae,j
10/4/2023,900,ctl,thomisidae,j
10/4/2023,900,ctl,thomisidae,j
10/4/2023,900,ctl,salticidae,a
10/4/2023,900,dep,lycosidae,a
10/4/2023,900,dep,lycosidae,j
10/4/2023,900,dep,lycosidae,j
10/4/2023,900,dep,salticidae,a
10/4/2023,900,dep,salticidae,a
10/4/2023,900,dep,linyphiidae,a
10/4/2023,900,dep,oxyopidae,j
10/4/2023,900,dep,oxyopidae,j
10/4/2023,1000,aug,thomisidae,j
10/4/2023,1000,aug,thomisidae,j
10/4/2023,1000,aug,thomisidae,j
10/4/2023,1000,aug,thomisidae,j
10/4/2023,1000,aug,thomisidae,j
10/4/2023,1000,aug,thomisidae,j
10/4/2023,1000,aug,thomisidae,a
10/4/2023,1000,aug,salticidae,a
10/4/2023,1000,aug,oxyopidae,a
10/4/2023,1000,aug,oxyopidae,j
10/4/2023,1000,aug,oxyopidae,j
10/4/2023,1000,ctl,salticidae,a
10/4/2023,1000,ctl,tetrgnathidae,a
10/4/2023,1000,ctl,thomisidae,j
10/4/2023,1000,dep,thomisidae,j
10/4/2023,1000,dep,thomisidae,j
10/4/2023,1000,dep,thomisidae,j
10/4/2023,1000,dep,thomisidae,j
10/4/2023,1000,dep,unknown,j
10/4/2023,1000,dep,thomisidae,j
10/4/2023,1100,aug,salticidae,a
10/4/2023,1100,aug,salticidae,a
10/4/2023,1100,aug,salticidae,a
10/4/2023,1100,aug,salticidae,a
10/4/2023,1100,aug,salticidae,j
10/4/2023,1100,aug,thomisidae,j
10/4/2023,1100,aug,thomisidae,j
10/4/2023,1100,aug,oxyopidae,j
10/4/2023,1100,ctl,thomisidae,j
10/4/2023,1100,ctl,thomisidae,j
10/4/2023,1100,ctl,thomisidae,j
10/4/2023,1100,ctl,thomisidae,j
10/4/2023,1100,ctl,thomisidae,j
10/4/2023,1100,ctl,thomisidae,j
10/4/2023,1100,ctl,thomisidae,j
10/4/2023,1100,ctl,tetrgnathidae,a
10/4/2023,1100,ctl,tetrgnathidae,a
10/4/2023,1100,ctl,linyphiidae,a
10/4/2023,1100,ctl,oxyopidae,a
10/4/2023,1100,dep,tetrgnathidae,a
10/4/2023,1100,dep,thomisidae,j
10/4/2023,1100,dep,thomisidae,j
